香港频道,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UT4LPr&tk=cl177bPI6scY
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=V428z2&tk=cl177bPI6scY
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=oDn6Ci&tk=cl177bPI6scY
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0jkEzG&tk=cl177bPI6scY
翡翠台(美加·东岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=sbvkVj&tk=cl177bPI6scY
翡翠台(美加·西岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3At5ZB&tk=cl177bPI6scY
翡翠台(欧·新时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PqtvRR&tk=cl177bPI6scY
翡翠台(英国时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2Zt9O2&tk=cl177bPI6scY
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NOeDcA&tk=cl177bPI6scY
TVB无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3m6MtL&tk=cl177bPI6scY
TVB明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aKKto7&tk=cl177bPI6scY
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EgFYVG&tk=cl177bPI6scY
TVB星河频道(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=YfzjLl&tk=cl177bPI6scY
TVB星河频道(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LR8hbV&tk=cl177bPI6scY
凤凰电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xX99d4&tk=cl177bPI6scY
星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IbDPpx&tk=cl177bPI6scY
私人影院,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CeJmYL&tk=cl177bPI6scY
TVB1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2uIvbs&tk=cl177bPI6scY
TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=VBhrU2&tk=cl177bPI6scY
TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=X7mMh3&tk=cl177bPI6scY
TVB Drama 翡翠劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZOyYXm&tk=cl177bPI6scY
TVB Drama 翡翠劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MgOJ0f&tk=cl177bPI6scY
