4K频道,#genre#
CCTV4K,http://www.520345.xyz:8188/rtp/239.69.1.111:10304?$3840x2160
CCTV4K,http://219.140.5.23:8888/rtp/239.69.1.111:10304?$3840x2160
CCTV4K,http://117.174.25.254:8188/rtp/239.0.0.184:5140?$3840x2160
CCTV4K,http://vip1.xinketongxun.fun:8082/tsfile/live/1026_1.m3u8?$40M3840x2160
香港频道,#genre#
凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=u7o29G&tk=cl177bPI6scY
凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CaCRUC&tk=cl177bPI6scY
凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jzLRVA&tk=cl177bPI6scY
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6oef6V&tk=cl177bPI6scY
翡翠台(美加·东岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=rBTvR8&tk=cl177bPI6scY
翡翠台(美加·西岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1PyX6d&tk=cl177bPI6scY
翡翠台(欧·新时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xOCFvt&tk=cl177bPI6scY
翡翠台(英国时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nsfp05&tk=cl177bPI6scY
TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8erLJp&tk=cl177bPI6scY
TVB无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1iopWn&tk=cl177bPI6scY
TVB明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=6zTzgR&tk=cl177bPI6scY
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CZes5a&tk=cl177bPI6scY
TVB星河频道(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=q1Cn9B&tk=cl177bPI6scY
