温馨提示,#genre#
如果直播源出现打赏画面,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aLWJP8&tk=cl177bPI6scY
请不要打赏,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iLtQKa&tk=cl177bPI6scY
免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=DSXHgf&tk=cl177bPI6scY
香港频道,#genre#
#凤凰中文台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I7VXXP&tk=cl177bPI6scY
#凤凰资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SZYgyj&tk=cl177bPI6scY
#凤凰香港台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=GW3dbM&tk=cl177bPI6scY
#翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LcFsdX&tk=cl177bPI6scY
#翡翠台(美加·东岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XOu1Dd&tk=cl177bPI6scY
#翡翠台(美加·西岸时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=CGQHMT&tk=cl177bPI6scY
#翡翠台(欧·新时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LhP39B&tk=cl177bPI6scY
#翡翠台(英国时区),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Qxn33c&tk=cl177bPI6scY
#TVB Plus,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qBIVvX&tk=cl177bPI6scY
#TVB无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IZ7gy3&tk=cl177bPI6scY
#TVB明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XNstgq&tk=cl177bPI6scY
#TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=huupAu&tk=cl177bPI6scY
#TVB星河频道(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Sad1UB&tk=cl177bPI6scY
#TVB星河频道(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fKXVCH&tk=cl177bPI6scY
#天映CM+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Qp3mP6&tk=cl177bPI6scY
#极限电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KjtIMI&tk=cl177bPI6scY
#东森电影(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NoP9rS&tk=cl177bPI6scY
#龙祥时代(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EubSqU&tk=cl177bPI6scY
#凤凰电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4gyg8D&tk=cl177bPI6scY
#星空卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vGYpy9&tk=cl177bPI6scY
#TVB1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9Viooq&tk=cl177bPI6scY
#TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SnwTI0&tk=cl177bPI6scY
#TVBJ1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=jJeclW&tk=cl177bPI6scY
#TVB Drama 翡翠劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QNI48I&tk=cl177bPI6scY
#TVB Drama 翡翠劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NbWaNk&tk=cl177bPI6scY
#TVB Pearl Drama 明珠劇集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uRM8F1&tk=cl177bPI6scY
#TVB娱乐新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NnUXfr&tk=cl177bPI6scY
#TVB E 翡翠娛樂台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=z4B5ZT&tk=cl177bPI6scY
#TVB E 翡翠娛樂台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3TYywj&tk=cl177bPI6scY
#Astro AEC,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mvmGrq&tk=cl177bPI6scY
#Astro QJ,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gqtd0p&tk=cl177bPI6scY
#Astro AOD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UJHPfQ&tk=cl177bPI6scY
#Astro AOD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EbTcNN&tk=cl177bPI6scY
#Astro 欢喜台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HvPKUP&tk=cl177bPI6scY
#娱家台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fbjOtD&tk=cl177bPI6scY
#都会台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=fSCtPL&tk=cl177bPI6scY
#TVB 千禧经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=waenlI&tk=cl177bPI6scY
#天映频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UqThWW&tk=cl177bPI6scY
#天映经典,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dZ41de&tk=cl177bPI6scY
#TVB功夫台(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=NhEAca&tk=cl177bPI6scY
#TVB功夫台(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nHFkig&tk=cl177bPI6scY
#美亚电影(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=b7iiyv&tk=cl177bPI6scY
#美亚电影(粤),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MU3mgK&tk=cl177bPI6scY
#美亚电影(台湾),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=J9YDqX&tk=cl177bPI6scY
#龙祥电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OIPJkD&tk=cl177bPI6scY
#中国电影频道,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lcPxln&tk=cl177bPI6scY
#POP C,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XtfBse&tk=cl177bPI6scY
#黃金華劇台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Twnt9k&tk=cl177bPI6scY
#Now新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HnG9bc&tk=cl177bPI6scY
#Now直播台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=a70rZS&tk=cl177bPI6scY
